,City,Country,Latitude,Longitude,Temperature,Humidity,Cloud,Wind
399,ternovka,RU,51.68,41.64,56.35,82.0,80.0,3.78
400,llanes,ES,43.42,-4.75,63.7,76.0,86.0,1.74
401,pedernales,DO,18.04,-71.74,81.97,70.0,100.0,8.48
402,muqui,BR,-20.96,-41.35,58.44,89.0,46.0,0.89
403,saquena,PE,-4.67,-73.52,74.68,70.0,46.0,0.72
404,aloleng,PH,16.13,119.78,85.8,71.0,100.0,12.91
405,kingaroy,AU,-26.53,151.83,68.79,39.0,75.0,6.93
406,adrar,MR,20.5,-10.07,96.04,18.0,0.0,12.46
407,mayumba,GA,-3.43,10.66,70.56,84.0,15.0,6.35
408,tuatapere,NZ,-46.13,167.68,55.78,64.0,99.0,2.86
409,nizhniy baskunchak,RU,48.22,46.83,71.56,42.0,100.0,7.43
410,asosa,ET,10.07,34.53,60.62,99.0,53.0,2.57
411,kruisfontein,ZA,-34.0,24.73,64.54,26.0,0.0,14.0
412,severo-kurilsk,RU,50.68,156.12,55.56,91.0,100.0,11.48
413,alice springs,AU,-23.7,133.88,75.09,14.0,0.0,8.05
414,voi,KE,-3.39,38.56,63.3,86.0,6.0,5.37
415,oytal,KZ,42.91,73.27,77.7,35.0,18.0,4.14
416,birao,CF,10.28,22.79,70.14,97.0,100.0,2.06
417,panzhihua,CN,26.59,101.71,80.01,57.0,25.0,1.12
418,margate,GB,51.38,1.39,62.65,80.0,99.0,4.0
419,san angelo,US,31.46,-100.44,88.95,24.0,1.0,5.82
420,esperance,AU,-33.87,121.9,59.0,77.0,75.0,17.22
421,talgar,KZ,43.3,77.24,71.6,60.0,40.0,4.47
422,souris,CA,49.62,-100.26,66.09,68.0,20.0,4.7
423,khandyga,RU,62.67,135.6,80.04,32.0,19.0,2.77
424,arlit,NE,18.74,7.39,91.11,41.0,100.0,11.16
425,marang,MY,5.21,103.21,78.91,94.0,40.0,4.7
426,costinesti,RO,43.95,28.63,60.89,87.0,0.0,5.82
427,curuca,BR,-0.73,-47.85,74.79,95.0,2.0,5.95
428,mosquera,CO,4.71,-74.23,57.2,62.0,75.0,9.17
429,nouadhibou,MR,20.93,-17.03,71.6,88.0,0.0,20.8
430,provost,CA,52.35,-110.27,72.37,59.0,0.0,9.69
431,pahrump,US,36.21,-115.98,102.0,5.0,0.0,3.0
432,loandjili,CG,-4.76,11.86,71.46,83.0,52.0,7.07
433,barghat,IN,22.03,79.72,82.27,75.0,100.0,8.21
434,teknaf,BD,20.86,92.31,87.66,72.0,74.0,1.21
435,myshkin,RU,57.79,38.45,50.49,93.0,7.0,4.5
436,yamada,JP,39.47,141.95,79.09,65.0,0.0,11.23
437,verkh-usugli,RU,52.7,115.17,66.56,70.0,100.0,8.9
438,cozumel,MX,20.51,-86.95,83.23,83.0,40.0,3.36
439,dzhida,RU,50.68,106.18,64.72,67.0,98.0,3.6
440,keti bandar,PK,24.14,67.45,87.35,74.0,38.0,14.72
441,anloga,GH,5.79,0.9,75.2,88.0,20.0,11.41
442,zaruma,EC,-3.68,-79.62,62.92,70.0,6.0,5.06
443,conceicao da barra,BR,-18.59,-39.73,65.21,84.0,2.0,6.46
444,presidente medici,BR,-11.18,-61.9,72.07,38.0,2.0,2.66
445,launceston,AU,-41.45,147.17,51.51,57.0,40.0,19.46
446,pervomayskiy,RU,53.25,40.29,53.42,90.0,0.0,5.84
447,mokrousovo,RU,55.81,66.77,74.71,59.0,66.0,10.22
448,san patricio,MX,19.22,-104.7,81.99,83.0,99.0,5.86
449,turka,UA,49.15,23.03,53.2,86.0,100.0,3.0
450,jijiga,ET,9.35,42.8,59.07,83.0,63.0,20.4
451,atikokan,CA,48.76,-91.62,53.89,69.0,40.0,3.78
452,san policarpo,PH,12.18,125.51,84.74,76.0,100.0,5.41
453,chitungwiza,ZW,-18.01,31.08,42.66,89.0,0.0,4.79
454,los llanos de aridane,ES,28.66,-17.92,76.82,83.0,6.0,16.11
455,manggar,ID,-2.88,108.27,83.52,75.0,92.0,15.61
456,yarim,YE,14.3,44.38,57.33,80.0,99.0,2.19
457,fomboni,KM,-12.28,43.74,77.38,72.0,0.0,22.28
458,van buren,US,35.44,-94.35,78.48,54.0,1.0,5.82
459,viedma,AR,-40.81,-63.0,42.01,83.0,3.0,1.99
460,anadyr,RU,64.75,177.48,55.18,71.0,75.0,6.71
461,divnogorsk,RU,55.96,92.36,68.0,72.0,94.0,4.47
462,storslett,NO,69.77,21.02,53.78,63.0,1.0,6.96
463,wanaka,NZ,-44.7,169.15,51.71,75.0,90.0,3.98
464,karasjok,NO,69.47,25.51,50.0,81.0,18.0,2.21
465,west wendover,US,40.74,-114.07,98.6,9.0,1.0,4.7
466,saryozek,KZ,44.36,77.98,77.41,30.0,31.0,5.41
467,sungaipenuh,ID,-2.08,101.38,75.13,70.0,88.0,2.13
468,araouane,ML,18.9,-3.53,95.76,31.0,61.0,14.2
469,termiz,UZ,37.22,67.28,75.2,38.0,0.0,2.24
470,sale,MA,34.04,-6.82,69.31,94.0,0.0,6.93
471,luderitz,NA,-26.65,15.16,64.4,27.0,0.0,3.36
472,alugan,PH,12.22,125.48,85.05,74.0,100.0,5.17
473,marsh harbour,BS,26.54,-77.06,83.3,80.0,100.0,26.53
474,la cruz,MX,23.92,-106.9,81.86,83.0,58.0,6.04
475,sabang,ID,5.89,95.32,83.07,77.0,100.0,23.58
476,kudahuvadhoo,MV,2.67,72.89,83.21,77.0,100.0,11.3
477,fortuna,US,40.6,-124.16,65.34,1.0,1.0,5.01
478,aklavik,CA,68.22,-135.01,55.4,87.0,90.0,4.7
479,lagoa,PT,39.05,-27.98,71.24,75.0,1.0,2.08
480,hambantota,LK,6.12,81.12,77.0,100.0,40.0,11.41
481,kaitangata,NZ,-46.28,169.85,52.0,72.0,41.0,1.99
482,hofn,IS,64.25,-15.21,50.97,91.0,100.0,1.83
483,burns lake,CA,54.23,-125.75,59.54,89.0,100.0,0.87
484,tanete,ID,-3.94,119.78,84.94,60.0,92.0,5.39
485,itarema,BR,-2.92,-39.92,77.86,82.0,60.0,11.48
486,lander,US,42.83,-108.73,83.14,20.0,1.0,9.17
487,jati,PK,24.35,68.27,88.48,67.0,22.0,13.85
488,kamina,CD,-8.74,24.99,60.33,42.0,29.0,5.79
489,arman,RU,59.7,150.17,66.88,50.0,66.0,6.69
490,merrill,US,45.18,-89.68,57.15,82.0,90.0,3.36
491,lorengau,PG,-2.02,147.27,83.8,78.0,87.0,11.99
492,killeen,US,31.12,-97.73,87.33,45.0,1.0,8.05
493,acarau,BR,-2.89,-40.12,77.5,84.0,46.0,11.39
494,maldonado,UY,-34.67,-54.92,54.45,93.0,80.0,3.36
495,salzhemmendorf,DE,52.07,9.59,57.0,85.0,98.0,1.01
496,sarany,RU,58.5,58.88,53.13,94.0,100.0,4.23
497,lasa,IT,46.62,10.7,56.43,100.0,40.0,2.35
498,comodoro rivadavia,AR,-45.87,-67.5,53.6,50.0,100.0,8.05
499,chapais,CA,49.78,-74.85,64.4,93.0,90.0,4.7
500,quang ngai,VN,15.12,108.8,92.03,53.0,76.0,4.38
501,la troncal,EC,-2.4,-79.33,69.37,66.0,20.0,5.82
502,bonoua,CI,5.27,-3.6,75.2,88.0,20.0,5.82
503,iwanai,JP,42.97,140.51,85.14,52.0,100.0,4.99
504,placido de castro,BR,-10.34,-67.19,74.53,54.0,0.0,1.01
505,pangoa,PE,-12.12,-73.0,66.65,76.0,0.0,2.8
506,roald,NO,62.58,6.13,52.43,93.0,100.0,8.05
507,ust-ilimsk,RU,58.0,102.66,74.01,42.0,100.0,4.85
508,sagua la grande,CU,22.81,-80.08,80.6,83.0,75.0,6.93
509,sambava,MG,-14.27,50.17,71.19,82.0,100.0,18.81
510,college,US,64.86,-147.8,64.74,59.0,75.0,8.05
511,casian,PH,11.04,119.71,84.4,68.0,98.0,3.0
512,namanga,KE,-2.54,36.79,55.44,89.0,11.0,3.24
513,iqaluit,CA,63.75,-68.51,53.6,66.0,20.0,8.05
514,saint-augustin,CA,51.23,-58.65,63.77,73.0,49.0,7.45
515,havre-saint-pierre,CA,50.23,-63.6,62.6,88.0,75.0,3.36
516,galesong,ID,-5.32,119.37,86.0,55.0,20.0,2.24
517,longhua,CN,23.61,114.19,86.85,70.0,51.0,5.21
518,mena,UA,51.52,32.22,52.12,91.0,11.0,1.48
519,camocim,BR,-2.9,-40.84,75.69,87.0,19.0,8.84
520,velyka bilozerka,UA,47.28,34.71,60.01,71.0,0.0,4.83
521,kieta,PG,-6.22,155.63,86.25,62.0,6.0,6.29
522,bestobe,KZ,52.5,73.1,79.59,51.0,0.0,9.37
523,kutum,SD,14.2,24.67,69.89,86.0,41.0,7.43
524,nuqui,CO,5.71,-77.27,79.74,86.0,100.0,3.96
525,antofagasta,CL,-23.65,-70.4,55.4,76.0,75.0,6.93
526,saint-georges,GD,12.06,-61.75,82.4,88.0,40.0,11.5
527,simbahan,PH,6.3,120.58,82.83,73.0,77.0,4.38
528,bimbo,CF,4.26,18.42,71.6,94.0,40.0,1.21
529,aqtobe,KZ,50.28,57.21,75.2,41.0,0.0,6.71
530,porto walter,BR,-8.27,-72.74,70.59,62.0,0.0,1.59
531,chabahar,IR,25.29,60.64,83.89,80.0,11.0,5.77
532,suntar,RU,62.14,117.63,77.38,38.0,0.0,6.91
533,kirando,TZ,-7.42,30.6,68.38,52.0,97.0,3.71
534,iquique,CL,-20.22,-70.14,60.8,67.0,90.0,3.36
535,luena,AO,-11.78,19.92,49.82,48.0,52.0,6.31
536,valparaiso,CL,-33.04,-71.63,53.01,77.0,0.0,6.38
537,tanda,IN,26.55,82.65,90.82,65.0,18.0,5.19
538,agarak,AM,39.21,46.54,64.76,91.0,98.0,5.21
539,shubarkuduk,KZ,49.14,56.49,80.06,38.0,0.0,8.39
540,almaznyy,RU,48.04,40.05,55.4,87.0,0.0,2.24
541,ahuimanu,US,21.44,-157.84,81.46,62.0,75.0,14.99
542,keningau,MY,5.34,116.16,87.35,70.0,20.0,3.36
543,ishigaki,JP,24.34,124.16,80.6,100.0,75.0,32.21
544,roma,US,43.21,-75.46,80.15,45.0,1.0,6.93
545,simao,CN,22.79,100.97,68.54,94.0,100.0,3.18
546,chapleau,CA,47.84,-83.4,53.6,76.0,75.0,11.41
547,burghausen,DE,48.17,12.83,61.66,99.0,100.0,5.01
548,pontianak,ID,-0.03,109.33,78.4,88.0,93.0,4.97
549,namibe,AO,-15.2,12.15,67.37,69.0,0.0,7.31
550,neiafu,TO,-18.65,-173.98,78.8,78.0,75.0,6.93
551,fort nelson,CA,58.81,-122.7,78.8,50.0,75.0,4.7
552,trincomalee,LK,8.57,81.23,83.19,72.0,100.0,19.19
553,port moresby,PG,-9.44,147.18,82.4,74.0,20.0,14.65
554,pochutla,MX,15.74,-96.47,81.0,84.0,3.0,3.6
555,macau,MO,22.2,113.55,82.4,88.0,40.0,9.17
556,chifeng,CN,42.27,118.96,86.52,28.0,0.0,21.25
557,bushehr,IR,28.97,50.84,95.0,67.0,29.0,11.41
